#,lsc,ec,st_nr,street_name ,abbr,dir,muncipality,community,list_price,sold_price,type,style,br,addi,wr,fam,kit,garage_type,a/c,heat,contract,sold,list_brokerage,co_op brokerage,mls,,
99,Sld,N,322,Pressed Br,Dr,,Brampton,Brampton N,"$799,900","$805,000",Semi-Detac,2-Storey,3,0,3,N,1,Built,Cen,Gas,27-03-2021,04-19-2021,RE/MAX REAL,RE/MAX REALTY,W5170098,,
100,Sld,,113,Clarence,St,,Brampton,Brampton E  ,"$799,900","$870,000",Detached,Sidesplit,3,0,3,N,1,Detach,Cen,Gas,07-04-2021,04-17-2021,RE/MAX REAL,NON-TRREB BOA,W5185280,,
101,Sld,,95,Cornwall,Rd,,Brampton,Brampton E ,"$799,900","$852,000",Detached,Bungalow,3,2,2,N,1,Detach,Cen,Gas,22-04-2021,04-29-2021  ,RE/MAX REAL,HOMELIFE/MIRA,W5205862,,
102,Sld,,113,Skegby,Rd,,Brampton,Brampton N ,"$799,900","$849,000",Semi-Detac,2-Storey,4,1,4,N,1,Attach,Cen,Gas,23-04-2021,05-05-2021 ,SUTTON GROU,HOMELIFE/MIRA,W5206243,,
103,Sld,,47,Sea Drifte,Cres,,Brampton,Brampton E,"$799,999","$905,000",Att/Row/Tw,2-Storey,3,1,3,y,1,Built,Cen,Gas,02-02-2021,02-08-2021   ,INTERCITY R,RIGHT AT HOME,W5102101,,
104,Sld,,8,Binsell,Ave,,Brampton,Brampton N  ,"$799,999","$775,000",Detached,1 1/2 Star,4,0,2,y,1,Detach,Cen,Oil,02-03-2021,03-15-2021    ,CENTURY 21,RE/MAX REALTY,W5133114,,
105,Sld,,37,Linkdale,Rd,S,Brampton,Brampton N  ,"$809,000","$880,000",Detached,Bungalow-R,3,1,3,y,1,Built,Cen,Gas,07-05-2021,05-08-2021  ,COLDWELL BA,CENTURY 21 EM,W5225851,,
106,Sld,,229,Centre,St,N,Brampton,Brampton N  ,"$819,900","$843,900",Detached,2-Storey,4,2,2,N,1,Built,Cen,Gas,05-04-2021,04-14-2021 ,RIGHT AT HO,ROYAL LEPAGE,W5180608,,
107,Sld,,28,Crosswood,Lane,,Brampton,Brampton N  ,"$829,000","$902,100",Semi-Detac,Backsplit,3,1,3,N,1,Attach,Cen,Gas,08-04-2021,04-17-2021,RE/MAX REAL,CENTURY 21 PR,W5185504,,
108,Sld,,24,Dantek,Crt,,Brampton,Brampton N ,"$829,900","$900,000",Semi-Detac  ,Bungalow-R ,3,3,2,N,1,None,Cen,Gas,12-03-2021,03-15-2021 ,SUTTON GROU,RIGHT AT HOME,W5149138,,
109,Sld,,136,Bartley Bu,Pkwy,,Brampton,Brampton E  ,"$838,000","$875,000",Detached          ,Bungalow,3,0,2,N,1,Carpor,Cen,Gas,21-04-2021,04-26-2021 ,RE/MAX REAL,RIGHT AT HOME,W5203391,,
