#,LSC,EC,St#,Street Name,Abbr,Dir,Municipality,Community, List Price , Sold Price ,Type,Style,Br,Additional,Wr,Fam,Kit,Garage Type,A/C,Heat,Contract Date,Sold Date,List Brokerage,Co op Brokerage,MLS#
1120,Sld,,47,Carnforth,Dr,,Brampton,Brampton N," $1,145,000 "," $1,145,000 ",Detached,2-Storey,4,1,5,Y,1,Attach,Cen,Gas,1/26/2021,1/26/2021,ROYAL LEPAG,RE/MAX REAL E,W5094384
1121,Sld,,2,Tweedsmuir,Crt,,Brampton,Brampton N," $1,149,000 "," $1,350,000 ",Detached,Bungalow,4,1,5,Y,1,Attach,Cen,Gas,2/19/2021,2/20/2021,UNIVERSAL R,RE/MAX GOLD R,W5122082
1122,Sld,,20,Lismore,Crt,,Brampton,Brampton N," $1,157,000 "," $1,175,000 ",Detached,Backsplit,4,0,3,Y,1,Attach,Cen,Gas,4/28/2021,4/28/2021,ROYAL LEPAG,ROYA STAR RE,W5211732
1123,Sld,,55,Masters Gr,Cres,,Brampton,Brampton N," $1,179,000 "," $1,189,000 ",Detached,2-Storey,4,1,4,Y,1,Built-,Cen,Gas,1/06/2021,1/08/2021,RIGHT AT HO,CENTURY 21 PE,W5076861
1124,Sld,,8,Baccarat,Cres,,Brampton,Brampton N," $1,188,000 "," $1,250,000 ",Detached,2-Storey,4,1,4,Y,1,Attach,Cen,Gas,3/10/2021,3/15/2021,REXIG REALT,RIGHT AT HOME,W5145120
1125,Sld,,57,Masters Gr,Cres,,Brampton,Brampton N," $1,199,000 "," $1,275,500 ",Detached,2-Storey,4,2,4,Y,1,Built-,Cen,Gas,1/20/2021,1/21/2021,RIGHT AT HO,CETURY 21 PE,W5089553
1126,Sld,,44,Brinkley,Dr,,Brampton,Brampton N," $1,199,000 "," $1,260,000 ",Detached,2-Storey,4,0,4,Y,1,Attach,Cen,Gas,2/25/2021,3/01/2021,ROYAL LEPAG,RE/MAX REALTY,W5127813
1127,Sld,N,10,Axminster,Rd,,Brampton,Brampton N," $1,199,000 "," $1,360,000 ",Detached,2-Storey,4,0,4,Y,1,Attach,Cen,Gas,3/04/2021,3/06/2021,ROYAL LEPAG,HOMELIFE CULT,W5137274
1128,Sld,,32,Ramsgate,Crt,,Brampton,Brampton N," $1,199,000 "," $1,400,000 ",Detached,Sidesplit,3,3,5,Y,1,Attach,Cen,Gas,3/04/2021,3/07/2021,RE/MAX REAL,HOMELIFE SILV,W5137688
1129,Sld,,218,Cresthaven,Rd,,Brampton,Brampton N," $1,199,000 "," $1,350,000 ",Detached,2-Storey,5,1,6,Y,1,Built-,Cen,Gas,3/19/2021,3/19/2021,RE/MAX REAL,HOMELIFE/MIRA,W5158814
1130,Sld,,112,Stoneylake,Ave,,Brampton,Brampton C," $1,199,000 "," $1,145,000 ",Detached,2-Storey,3,1,4,Y,1,Attach,Cen,Gas,4/16/2021,5/03/2021,HOMELIFE MA,TRI-CITY PROF,W5198573
1131,Sld,,72,Pappain,Cres,,Brampton,Brampton N," $1,199,000 "," $1,210,000 ",Detached,2-Storey,4,0,4,Y,1,Attach,Cen,Gas,5/08/2021,5/10/2021,RE/MAX REAL,DYNAMIC EDGE,W5226578
1132,Sld,,74,Summer Val,Dr,,Brampton,Brampton N," $1,199,333 "," $1,250,000 ",Detached,2-Storey,4,1,4,Y,1,Attach,Cen,Gas,3/20/2021,4/05/2021,HOMELIFE SU,ROYAL CANADIA,W5160712
